"Story","Title","Result","Date","Stability","Duration (s)"
"Second serenity test","This is a failing test","FAILURE","2019-02-24T13:14:49.857-05:00[America/New_York]","0.0","6.56"
"Second serenity test","This is a pending test","PENDING","2019-02-24T13:14:57.079-05:00[America/New_York]","0.0","0.38"
"Second serenity test","This is a manual test","PENDING","2019-02-24T13:14:57.471-05:00[America/New_York]","0.0","0.0"
"Second serenity test","This is a test with error","ERROR","2019-02-24T13:14:57.878-05:00[America/New_York]","0.0","0.41"
"Second serenity test","File does not exist","COMPROMISED","2019-02-24T13:14:58.299-05:00[America/New_York]","0.0","0.36"
"Second serenity test","This is an ignored test","IGNORED","2019-02-24T13:14:58.664-05:00[America/New_York]","0.0","0.31"
"Second serenity test","Get all students","SUCCESS","2019-02-24T13:14:58.979-05:00[America/New_York]","0.0","0.45"
"First serenity test","This is a failing test","FAILURE","2019-02-24T13:15:08.49-05:00[America/New_York]","0.0","0.57"
"First serenity test","This is a pending test","PENDING","2019-02-24T13:15:09.09-05:00[America/New_York]","0.0","0.38"
"First serenity test","This is a manual test","PENDING","2019-02-24T13:15:09.475-05:00[America/New_York]","0.0","0.0"
"First serenity test","This is a test with error","ERROR","2019-02-24T13:15:09.867-05:00[America/New_York]","0.0","0.34"
"First serenity test","File does not exist","COMPROMISED","2019-02-24T13:15:10.21-05:00[America/New_York]","0.0","0.41"
"First serenity test","This is an ignored test","IGNORED","2019-02-24T13:15:10.623-05:00[America/New_York]","0.0","0.35"
"First serenity test","This test will get the information of all students from the Student App","SUCCESS","2019-02-24T13:15:10.979-05:00[America/New_York]","0.0","0.41"
"Students CRUD test","This test will create a new student","FAILURE","2019-02-24T13:15:11.623-05:00[America/New_York]","0.0","0.67"
